Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-04,295.3974914550781,298.2467321169391,294.3756804118853,296.635423005775,1963682
2010-01-05,295.4760437011719,298.50213829086874,293.39315552456395,296.71399912000913,2014488
2010-01-06,288.7949523925781,295.61349109634966,288.06791472636297,295.4759272225211,3349176
2010-01-07,280.7583312988281,290.58330056339037,279.4221258841511,289.0505957634221,6474892
2010-01-08,275.0204162597656,282.36949489787776,273.7235256734472,281.38699839510156,6048178
2010-01-11,280.6796569824219,282.99833476048974,275.256280093751,276.6710657214963,4318408
2010-01-12,294.7686767578125,296.32102645502385,285.710061316714,287.6750548608455,9027690
2010-01-13,309.8990783691406,312.98413214087395,292.6464521537257,292.7839920855153,10910272
2010-01-14,306.47991943359375,313.78970708962544,302.35343452650005,313.78970708962544,10327614
2010-01-15,311.01898193359375,314.24155002394724,303.4930520453872,312.8267652031443,7945008
2010-01-18,315.2635192871094,325.79587822489805,311.64792693889524,314.39891746672913,7261084
2010-01-19,306.81402587890625,315.263496166153,306.0083835093291,315.263496166153,5154850
2010-01-20,306.3031921386719,311.3335706317568,302.9627032348692,311.3335706317568,4347054
2010-01-21,302.86444091796875,311.23530796540945,301.78369455303135,303.4932292083289,5089504
2010-01-22,297.8339538574219,300.6439032009854,292.6660371029325,299.07190893588216,7574990
2010-01-25,297.1856384277344,300.8405217456506,291.2710124579076,297.6965319690795,3008286
2010-01-27,292.8904113769531,299.3526876800771,291.64919775523686,295.5304885514123,4844398
2010-01-28,292.2795715332031,298.66303311285094,286.7433067375501,295.3333857285281,6537196
2010-01-29,290.0928039550781,291.5113410300283,280.6161287604766,289.22590949801366,5473326
2010-02-01,294.0135192871094,300.5742834348797,283.70934391237836,289.36381913271856,3378012
2010-02-02,290.95977783203125,300.51526859467805,289.6200293008416,297.5008464246741,4739188
2010-02-03,296.6929931640625,298.2494589662258,289.8169771357501,293.16632357443655,2977676
2010-02-04,291.0779724121094,297.06739797153654,288.6349144016444,296.6930543646328,2716612
2010-02-05,285.0884704589844,289.61993889060614,282.3695797798763,289.61993889060614,4607118
2010-02-08,285.3447265625,289.5215504707583,279.0400721800132,287.25581530205216,4170344
2010-02-09,289.6791076660156,292.35858033226083,284.12311788051295,285.67958387167533,3005894
2010-02-10,288.5560302734375,293.04810434796576,286.9010543485935,291.5507543399024,2337374
2010-02-11,292.6541748046875,294.722889484197,289.6200551313373,290.7824805708455,2413156
2010-02-15,294.0135192871094,295.5305665753941,291.0187951156086,295.5305665753941,1956482
2010-02-16,298.7420654296875,301.42153826850745,292.45710936965196,294.4470107547138,1660490
2010-02-17,298.9391174316406,302.6036927344653,296.5354536800724,301.4018728838543,2528290
2010-02-18,298.9981689453125,302.20961124350237,297.69783905138434,299.47102273865266,1814806
2010-02-19,295.74737548828125,299.27404614828754,293.87568132211356,297.4614677338217,2215880
2010-02-22,298.3874206542969,300.92898883606614,297.02797497099294,298.28891044609145,2143460
2010-02-23,300.29864501953125,301.44137357216897,296.023309668094,299.07712750493624,1853052
2010-02-24,301.5790710449219,303.6872034362642,296.3580312346233,297.8947997423181,4076058
